# Preset bank D: DRIFT: ambient and new age
# slots by role: 001-064 percussion · 065-096 bass · 097-144 stabs · 145-176 keys · 177-208 lead (horns, strings,
# guitar, pedal steel) · 209-232 pads · 233-244 scapes · 245-248 noise · 249-256 fx
# slot | NAME (max 15) | recipe | tags | sample on the +Drive
001 | PULSE SOFT      | kick-soft     | Kick, Soft             | CORE/KICK/808_kick_bd-mid-color-b-01
194 | GTR TREMOLO     | gtr-verb      | Lead, Atmosphere       | DRIFT/GTR/drs_gtr_acoustic-tremolo-13-c3
195 | GTR NYLON VIB   | gtr-verb      | Lead, Soft             | DRIFT/GTR/360_gtr_nylon-guitar-vibrato-c3
196 | STEEL SWELL     | steel-swell   | Lead, Atmosphere       | DRIFT/GTR/mirg_gtr_warp-guitar-c3
209 | GLASS HOWL      | pad-glass     | Pad, Bright            | DRIFT/PAD/kawa_pad_glass-howl-c3
210 | WHITE SIREN     | pad-glass     | Pad, Atmosphere        | DRIFT/PAD/kawa_pad_white-siren-l-c3
211 | CAMPFIRE        | pad-fog       | Pad, Soft              | DRIFT/PAD/101_pad_campfire-c3
212 | HAZE 101        | pad-fog       | Pad, Vintage           | DRIFT/PAD/101_pad_hze-c3
213 | ENSEMBLE FEM    | pad-glass     | Pad, Soft              | DRIFT/PAD/vp33_pad_ensemblefemale-c3
214 | CHORD DRONE C   | pad-drone     | Pad, Atmosphere        | DRIFT/PAD/dsph_pad_ch-drone-06-c
215 | DIGI PAD C      | pad-glass     | Pad, Atmosphere        | DRIFT/PAD/dsph_pad_c01
216 | DIGI PAD 05     | pad-glass     | Pad, Atmosphere        | DRIFT/PAD/dsph_pad_05-c
233 | FOREST          | scape-stretch | Texture, Atmosphere    | DRIFT/SCAPE/dsph_scape_forest
234 | RAIN THUNDER    | scape-stretch | Texture, Atmosphere    | DRIFT/SCAPE/dsph_scape_rain-thunder-car
235 | WIND WINDOW     | scape-stretch | Texture, Soft          | DRIFT/SCAPE/dsph_scape_wind-window
236 | SAND            | scape-stretch | Texture, Soft          | DRIFT/SCAPE/dsph_scape_sand
237 | ELEMENTS DRONE  | scape-werp    | Texture, Atmosphere    | DRIFT/SCAPE/modc_scape_elements-drones-05
238 | TELAHARMONIC    | scape-werp    | Texture, Atmosphere    | DRIFT/SCAPE/modc_scape_telaharmonic-drones-1
239 | BIRDS FM        | scape-werp    | Texture, Bright        | DRIFT/SCAPE/dx1_scape_chirpfx-e4
240 | FROGS           | scape-stretch | Texture, Atmosphere    | DRIFT/SCAPE/dsph_scape_frog-concert
249 | CHIRP REVERSE   | fx-reverse    | Sound Fx, Atmosphere   | DRIFT/SCAPE/dx1_scape_chirpfx-c6
250 | BELL REVERSE    | fx-reverse    | Sound Fx, Metallic     | DRIFT/BELL/dx1_bell_fmbellfx-ds6
