# Preset bank B: DUB: dub techno on jazz and soul
# slots by role: 001-064 percussion · 065-096 bass · 097-144 stabs · 145-176 keys · 177-208 lead (horns, strings,
# guitar, pedal steel) · 209-232 pads · 233-244 scapes · 245-248 noise · 249-256 fx
# slot | NAME (max 15) | recipe | tags | sample on the +Drive
197 | GTR NOIR        | gtr-verb      | Lead, Dark             | DUB/GTR/drs_gtr_guitar-noir-01
198 | GTR NOIR HIGH   | gtr-verb      | Lead, Dark             | DUB/GTR/drs_gtr_high-noir-02
209 | PAD VP330 2000  | pad-fog       | Pad, Vintage           | DUB/PAD/vp33_pad_2000pads-c3
210 | PAD DIVE        | pad-fog       | Pad, Atmosphere        | DUB/PAD/vp33_pad_diveplavalaguna-c3
211 | PAD NEW DAWN    | pad-fog       | Pad, Soft              | DUB/PAD/juno_pad_new-dawn-c3
212 | PAD CINEMATIC   | pad-fog       | Pad, Dark              | DUB/PAD/juno_pad_cinematic-c3
213 | PAD WARM STR    | pad-fog       | Pad, Vintage           | DUB/PAD/juno_pad_warm-strings-c3
214 | PAD MELLOVOX    | pad-fog       | Pad, Vintage           | DUB/PAD/drs_pad_mellovox-13-c3
215 | PAD PROPHET     | pad-fog       | Pad, Vintage           | DUB/PAD/drs_pad_prophet-chorus-13-c3
233 | SCAPE SWELL     | scape-werp    | Texture, Atmosphere    | DUB/SCAPE/tfrg_scape_cerebral-swell-g2
234 | SCAPE ISOLATE   | scape-werp    | Texture, Dark          | DUB/SCAPE/tfrg_scape_isolation-pad-g3
235 | SCAPE WHALE     | scape-werp    | Texture, Atmosphere    | DUB/SCAPE/tfrg_scape_whale-cry-g3
236 | SCAPE CINEMA    | scape-stretch | Texture, Vintage       | DUB/SCAPE/drs_scape_ambient-cinema-01
237 | SCAPE BLUE      | scape-stretch | Texture, Vintage       | DUB/SCAPE/drs_scape_drama-blue-01
238 | SCAPE STRINGS   | scape-stretch | Texture, Vintage       | DUB/SCAPE/drs_scape_strings-cinema-04
239 | VOX GIBSON      | scape-stretch | Texture, Vintage       | DUB/VOX/drs_vox_gibson-voice-chord-06
240 | VOX BARBER      | scape-stretch | Texture, Vintage       | DUB/VOX/drs_vox_barber-04
